종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"074610","이엔플러스","KOSPI","기계","1370","53","4.02","100523378730"
"102460","이연제약","KOSPI","의약품","16560","930","5.95","307797590160"
"084680","이월드","KOSPI","기타제조업","1717","12","0.70","243481233381"
"350520","이지스레지던스리츠","KOSPI","서비스업","3935","5","0.13","145068504870"
"334890","이지스밸류리츠","KOSPI","서비스업","5070","-10","-0.20","260818387830"
"000760","이화산업","KOSPI","유통업","11690","200","1.74","32732000000"
"014990","인디에프","KOSPI","섬유의복","670","-16","-2.33","50325706650"
"101140","인바이오젠","KOSPI","유통업","9340","0","0.00","93812977440"
"006490","인스코비","KOSPI","통신업","1498","-25","-1.64","178814759004"
"023800","인지컨트롤스","KOSPI","운수장비","6430","50","0.78","101653136710"
"034590","인천도시가스","KOSPI","전기가스업","25500","50","0.20","111556227000"
"129260","인터지스","KOSPI","운수창고업","2200","-10","-0.45","65445322800"
"023810","인팩","KOSPI","운수장비","7020","50","0.72","70200000000"
"249420","일동제약","KOSPI","의약품","13520","80","0.60","379405013520"
"000230","일동홀딩스","KOSPI","의약품","7830","70","0.90","90361332000"
"013360","일성건설","KOSPI","건설업","1276","2","0.16","68935746880"
"003120","일성아이에스","KOSPI","의약품","15850","220","1.41","210805000000"
"003200","일신방직","KOSPI","섬유의복","7990","30","0.38","186007200000"
"007110","일신석재","KOSPI","유통업","1360","-49","-3.48","105340989600"
"007570","일양약품","KOSPI","의약품","12700","180","1.44","242387932800"
"007575","일양약품우","KOSPI","의약품","11860","110","0.94","5278648800"
"008500","일정실업","KOSPI","섬유의복","15050","100","0.67","18060000000"
"081000","일진다이아","KOSPI","화학","12970","470","3.76","184212585750"
"020760","일진디스플","KOSPI","전기전자","900","-6","-0.66","46362366900"
"103590","일진전기","KOSPI","전기전자","26950","1800","7.16","1285121260500"
"271940","일진하이솔루스","KOSPI","운수장비","21300","100","0.47","773470947000"
"015860","일진홀딩스","KOSPI","기타금융","4035","45","1.13","199117093905"
"226320","잇츠한불","KOSPI","화학","11930","150","1.27","261616727950"
"317400","자이에스앤디","KOSPI","서비스업","3750","-140","-3.60","145434450000"
"033240","자화전자","KOSPI","전기전자","15910","120","0.76","352499891700"
"000950","전방","KOSPI","섬유의복","19110","-90","-0.47","32104800000"
"079900","전진건설로봇","KOSPI","기계","21050","-1550","-6.86","323340082700"
"348950","제이알글로벌리츠","KOSPI","서비스업","3025","-45","-1.47","597062400000"
"194370","제이에스코퍼레이션","KOSPI","기타제조업","17540","440","2.57","233906441540"
"025620","제이준코스메틱","KOSPI","화학","5020","25","0.50","22513926920"
"030000","제일기획","KOSPI","서비스업","18390","-90","-0.49","2115608127750"
"271980","제일약품","KOSPI","의약품","14000","-40","-0.28","205868208000"
"001560","제일연마","KOSPI","비금속광물","8850","240","2.79","87615000000"
"002620","제일파마홀딩스","KOSPI","서비스업","8830","160","1.85","141044724650"
"006220","제주은행","KOSPI","은행","8450","110","1.32","271488140300"
"089590","제주항공","KOSPI","운수창고업","9630","470","5.13","776572685550"
"004910","조광페인트","KOSPI","화학","6140","-50","-0.81","78592000000"
"004700","조광피혁","KOSPI","기타제조업","54000","200","0.37","359053452000"
"001550","조비","KOSPI","화학","10150","0","0.00","52701225850"
"462520","조선내화","KOSPI","비금속광물","16940","150","0.89","200826545920"
"120030","조선선재","KOSPI","기계","95400","700","0.74","119979905400"
"018470","조일알미늄","KOSPI","철강금속","1648","20","1.23","208689076208"
"002600","조흥","KOSPI","음식료품","173900","900","0.52","104340000000"
"185750","종근당","KOSPI","의약품","103400","3000","2.99","1362235028000"
"063160","종근당바이오","KOSPI","의약품","24750","550","2.27","135777559500"
"001630","종근당홀딩스","KOSPI","의약품","55500","500","0.91","278047285500"
"109070","주성코퍼레이션","KOSPI","전기전자","4100","0","0.00","216521943000"
"044380","주연테크","KOSPI","전기전자","343","1","0.29","22776521236"
"013890","지누스","KOSPI","기타제조업","26000","1000","4.00","526781632000"
"013870","지엠비코리아","KOSPI","운수장비","3900","30","0.78","74381892000"
"071320","지역난방공사","KOSPI","전기가스업","45650","-350","-0.76","528569663600"
"088790","진도","KOSPI","유통업","1800","35","1.98","22405939200"
"003780","진양산업","KOSPI","화학","6750","-20","-0.30","87750000000"
"010640","진양폴리","KOSPI","화학","6970","-150","-2.11","69700000000"
"100250","진양홀딩스","KOSPI","화학","3190","5","0.16","178305981480"
"051630","진양화학","KOSPI","화학","2690","0","0.00","42502000000"
"272450","진에어","KOSPI","운수창고업","11620","600","5.44","606564000000"
"011000","진원생명과학","KOSPI","의약품","2425","25","1.04","194094659875"
"002780","진흥기업","KOSPI","건설업","738","1","0.14","107358147810"
"002787","진흥기업2우B","KOSPI","건설업","11770","260","2.26","3469890160"
"002785","진흥기업우B","KOSPI","건설업","3795","-20","-0.52","3253142310"
"009310","참엔지니어링","KOSPI","기계","392","10","2.62","33268028248"
"000650","천일고속","KOSPI","운수창고업","39900","100","0.25","57025878000"
"012600","청호ICT","KOSPI","기계","2490","0","0.00","116119947330"
"033250","체시스","KOSPI","운수장비","1434","22","1.56","45888000000"
"035720","카카오","KOSPI","서비스업","37350","1200","3.32","16565879413800"
"323410","카카오뱅크","KOSPI","은행","22550","800","3.68","10755530014350"
"377300","카카오페이","KOSPI","기타금융","24250","450","1.89","3264437660500"
"006380","카프로","KOSPI","화학","3660","0","0.00","618539985360"
"001620","케이비아이동국실업","KOSPI","운수장비","573","0","0.00","63770906763"
